week_start,truck_id,allocated_for_shipping,avg_cycle_time_min,trip_count,tonnage_moved_ton,road_flood_flag,crossing_queue_flag,jetty_id
2023-01-02,shiptruck_1,1,117,15,460.3,0,0,jetty_primary
2023-01-02,shiptruck_14,1,99,30,719.5,1,0,jetty_primary
2023-01-02,shiptruck_9,1,96,23,607.0,1,0,jetty_primary
2023-01-02,shiptruck_2,1,115,16,391.6,0,0,jetty_primary
2023-01-02,shiptruck_16,1,92,28,613.1,0,0,jetty_primary
2023-01-02,shiptruck_6,1,99,18,460.7,0,0,jetty_primary
2023-01-02,shiptruck_20,1,93,28,812.7,0,1,jetty_primary
2023-01-02,shiptruck_12,1,102,32,843.3,1,0,jetty_primary
2023-01-02,shiptruck_4,1,118,29,617.4,0,0,jetty_primary
2023-01-02,shiptruck_5,1,100,33,759.9,0,0,jetty_primary
2023-01-02,shiptruck_18,1,177,23,666.7,0,0,jetty_secondary
2023-01-02,shiptruck_13,1,119,19,466.4,0,0,jetty_primary
2023-01-02,shiptruck_19,1,104,28,700.1,0,0,jetty_primary
2023-01-02,shiptruck_17,1,98,29,840.6,0,0,jetty_primary
2023-01-02,shiptruck_3,1,109,18,456.7,0,0,jetty_primary
2023-01-02,shiptruck_7,0,0,0,0.0,0,0,jetty_primary
2023-01-02,shiptruck_8,0,0,0,0.0,0,0,jetty_primary
2023-01-02,shiptruck_10,0,0,0,0.0,0,0,jetty_primary
2023-01-02,shiptruck_11,0,0,0,0.0,0,0,jetty_primary
2023-01-02,shiptruck_15,0,0,0,0.0,0,0,jetty_secondary
2023-01-09,shiptruck_2,1,95,22,652.3,0,0,jetty_primary
2023-01-09,shiptruck_17,1,116,23,570.8,1,1,jetty_primary
2023-01-09,shiptruck_5,1,91,17,367.5,1,0,jetty_primary
2023-01-09,shiptruck_4,1,147,19,433.9,0,0,jetty_secondary
2023-01-09,shiptruck_8,1,95,18,516.8,0,0,jetty_primary
2023-01-09,shiptruck_20,1,109,16,427.1,0,0,jetty_primary
2023-01-09,shiptruck_3,1,116,20,490.9,0,0,jetty_primary
2023-01-09,shiptruck_13,1,108,34,914.3,0,0,jetty_primary
2023-01-09,shiptruck_15,1,120,25,710.6,1,1,jetty_secondary
2023-01-09,shiptruck_1,1,117,30,967.2,0,0,jetty_primary
2023-01-09,shiptruck_14,1,131,19,517.0,0,0,jetty_secondary
2023-01-09,shiptruck_9,1,105,17,446.8,0,0,jetty_primary
2023-01-09,shiptruck_6,0,0,0,0.0,0,0,jetty_primary
2023-01-09,shiptruck_7,0,0,0,0.0,0,0,jetty_primary
2023-01-09,shiptruck_10,0,0,0,0.0,0,0,jetty_primary
2023-01-09,shiptruck_11,0,0,0,0.0,0,0,jetty_primary
2023-01-09,shiptruck_12,0,0,0,0.0,0,0,jetty_primary
2023-01-09,shiptruck_16,0,0,0,0.0,0,0,jetty_primary
2023-01-09,shiptruck_18,0,0,0,0.0,0,0,jetty_primary
2023-01-09,shiptruck_19,0,0,0,0.0,0,0,jetty_primary
2023-01-16,shiptruck_20,1,111,28,796.2,0,1,jetty_primary
2023-01-16,shiptruck_12,1,110,15,326.1,0,0,jetty_primary
2023-01-16,shiptruck_17,1,106,31,843.6,0,1,jetty_primary
2023-01-16,shiptruck_11,1,103,17,364.5,0,0,jetty_primary
2023-01-16,shiptruck_6,1,92,32,939.3,0,1,jetty_primary
2023-01-16,shiptruck_13,1,107,29,770.7,0,0,jetty_primary
2023-01-16,shiptruck_19,1,97,15,455.5,0,0,jetty_primary
2023-01-16,shiptruck_7,1,92,32,962.2,0,0,jetty_primary
2023-01-16,shiptruck_10,1,109,15,441.7,0,1,jetty_primary
2023-01-16,shiptruck_8,1,117,16,371.8,0,0,jetty_primary
2023-01-16,shiptruck_14,1,119,31,741.2,0,0,jetty_primary
2023-01-16,shiptruck_5,1,97,26,675.4,0,0,jetty_primary
2023-01-16,shiptruck_15,1,92,22,531.8,1,0,jetty_primary
