date,location,lat,lon,rainfall_mm,humidity_pct,solar_radiation_wm2,temp_c,temp_max_c,temp_min_c,wind_speed_10m_mps,cloud_cover_pct
2023-01-01,pit_entrance,-0.456,117.11,0.26,86.77,19.96,26.23,30.07,22.92,0.73,93.21
2023-01-02,pit_entrance,-0.456,117.11,4.82,92.03,18.62,25.63,27.71,24.15,0.69,94.26
2023-01-03,pit_entrance,-0.456,117.11,1.19,91.48,13.48,25.55,28.58,23.0,0.71,98.84
2023-01-04,pit_entrance,-0.456,117.11,0.1,88.63,19.21,25.76,29.31,22.79,0.85,96.62
2023-01-05,pit_entrance,-0.456,117.11,0.34,90.13,18.42,25.58,27.9,23.37,0.58,86.9
2023-01-06,pit_entrance,-0.456,117.11,2.12,91.83,16.69,25.55,28.16,23.05,0.83,95.48
2023-01-07,pit_entrance,-0.456,117.11,9.72,95.55,10.63,25.09,26.85,23.59,0.76,99.43
2023-01-08,pit_entrance,-0.456,117.11,2.82,94.08,4.64,24.94,27.7,22.54,0.83,99.24
2023-01-09,pit_entrance,-0.456,117.11,1.92,93.88,10.67,24.69,26.82,23.09,0.69,99.26
2023-01-10,pit_entrance,-0.456,117.11,1.34,89.37,9.7,25.62,29.03,22.84,0.6,99.5
2023-01-11,pit_entrance,-0.456,117.11,0.92,90.28,18.81,25.67,28.69,22.95,0.76,91.71
2023-01-12,pit_entrance,-0.456,117.11,0.23,91.6,8.68,25.3,27.43,23.47,0.6,99.06
2023-01-13,pit_entrance,-0.456,117.11,8.67,89.21,22.5,26.05,29.7,22.28,0.67,47.68
2023-01-14,pit_entrance,-0.456,117.11,3.9,89.47,15.89,26.46,28.95,24.67,0.56,99.19
2023-01-15,pit_entrance,-0.456,117.11,0.08,90.18,18.35,26.19,29.46,23.21,0.92,89.08
2023-01-16,pit_entrance,-0.456,117.11,3.56,92.18,17.5,25.72,28.59,23.05,0.86,92.54
2023-01-17,pit_entrance,-0.456,117.11,7.16,89.72,18.36,26.18,29.54,23.02,0.52,80.08
2023-01-18,pit_entrance,-0.456,117.11,22.0,92.95,13.62,25.67,27.63,23.84,0.48,88.35
2023-01-19,pit_entrance,-0.456,117.11,14.63,94.03,16.03,24.96,26.69,23.16,0.45,93.82
2023-01-20,pit_entrance,-0.456,117.11,3.99,89.18,12.64,26.14,29.89,23.39,0.6,98.84
2023-01-21,pit_entrance,-0.456,117.11,1.22,91.83,6.16,25.61,27.92,23.78,0.66,99.18
2023-01-22,pit_entrance,-0.456,117.11,5.5,90.88,18.68,25.88,28.82,22.79,0.64,92.45
2023-01-23,pit_entrance,-0.456,117.11,3.84,93.61,14.0,25.27,27.81,23.62,0.66,98.83
2023-01-24,pit_entrance,-0.456,117.11,3.18,89.49,12.6,25.94,28.95,23.29,0.62,98.19
2023-01-25,pit_entrance,-0.456,117.11,12.83,94.96,14.75,25.08,27.17,23.41,0.78,99.5
2023-01-26,pit_entrance,-0.456,117.11,17.79,95.07,9.7,24.88,26.71,23.15,0.62,99.81
2023-01-27,pit_entrance,-0.456,117.11,6.26,92.34,8.75,25.45,28.31,23.01,0.79,99.58
2023-01-28,pit_entrance,-0.456,117.11,7.95,94.47,11.77,25.32,28.1,23.15,0.57,99.1
2023-01-29,pit_entrance,-0.456,117.11,10.03,93.51,9.01,25.39,28.48,22.98,0.57,99.66
2023-01-30,pit_entrance,-0.456,117.11,6.89,93.38,15.16,25.72,29.15,23.06,0.61,99.51
2023-01-31,pit_entrance,-0.456,117.11,6.43,93.36,16.4,25.68,27.86,23.57,0.53,99.18
2023-02-01,pit_entrance,-0.456,117.11,8.25,92.07,10.02,25.53,28.04,23.95,0.53,98.52
2023-02-02,pit_entrance,-0.456,117.11,1.59,89.2,10.73,25.7,28.83,23.63,0.49,99.36
2023-02-03,pit_entrance,-0.456,117.11,5.43,90.36,12.35,25.38,28.78,22.91,0.48,99.71
2023-02-04,pit_entrance,-0.456,117.11,4.63,88.59,13.18,25.79,29.17,23.28,0.62,99.74
2023-02-05,pit_entrance,-0.456,117.11,2.13,91.96,17.84,25.32,27.63,23.22,0.72,94.1
2023-02-06,pit_entrance,-0.456,117.11,2.29,90.6,9.94,25.44,28.54,23.1,0.67,98.21
2023-02-07,pit_entrance,-0.456,117.11,0.11,86.2,12.88,25.82,28.6,23.18,0.79,96.98
2023-02-08,pit_entrance,-0.456,117.11,0.6,90.39,19.54,25.21,28.1,22.97,0.69,99.22
2023-02-09,pit_entrance,-0.456,117.11,0.08,87.12,16.85,25.86,29.57,23.06,0.57,98.46
2023-02-10,pit_entrance,-0.456,117.11,0.06,90.62,22.01,25.68,28.8,23.09,0.71,89.03
2023-02-11,pit_entrance,-0.456,117.11,3.37,91.03,19.52,26.15,29.43,23.2,0.82,98.5
2023-02-12,pit_entrance,-0.456,117.11,13.89,94.97,15.84,25.44,27.59,23.88,0.55,99.38
2023-02-13,pit_entrance,-0.456,117.11,8.36,93.27,12.17,24.87,27.56,23.44,0.85,99.84
2023-02-14,pit_entrance,-0.456,117.11,7.65,91.23,18.19,25.03,27.04,23.1,0.66,99.18
2023-02-15,pit_entrance,-0.456,117.11,13.78,91.97,17.67,25.49,28.22,22.93,0.64,98.69
2023-02-16,pit_entrance,-0.456,117.11,7.48,92.9,16.73,24.96,27.3,23.35,0.57,99.44
2023-02-17,pit_entrance,-0.456,117.11,1.85,90.02,13.01,25.67,29.3,22.97,0.7,97.98
2023-02-18,pit_entrance,-0.456,117.11,1.68,91.06,21.48,25.96,29.32,23.35,0.74,69.71
2023-02-19,pit_entrance,-0.456,117.11,24.05,94.72,18.75,25.94,28.48,23.95,0.55,84.14
2023-02-20,pit_entrance,-0.456,117.11,17.61,95.71,7.17,25.66,28.03,24.03,0.76,99.18
2023-02-21,pit_entrance,-0.456,117.11,1.84,90.81,21.23,26.31,29.37,24.19,0.65,90.81
2023-02-22,pit_entrance,-0.456,117.11,3.47,93.92,12.15,25.91,28.33,24.22,0.57,97.62
2023-02-23,pit_entrance,-0.456,117.11,7.61,95.72,13.9,25.57,28.12,23.5,0.59,97.64
2023-02-24,pit_entrance,-0.456,117.11,7.71,94.76,8.7,25.84,28.75,23.8,0.55,99.56
2023-02-25,pit_entrance,-0.456,117.11,3.32,92.46,11.79,25.85,28.07,23.88,0.4,99.31
2023-02-26,pit_entrance,-0.456,117.11,21.44,92.97,22.35,25.23,27.73,23.18,0.72,90.4
2023-02-27,pit_entrance,-0.456,117.11,13.52,92.39,18.19,25.19,28.0,23.14,0.83,97.62
2023-02-28,pit_entrance,-0.456,117.11,28.37,95.2,12.92,24.87,26.91,22.87,0.89,98.38
2023-03-01,pit_entrance,-0.456,117.11,15.36,91.99,10.6,24.67,26.81,22.88,0.68,99.69
2023-03-02,pit_entrance,-0.456,117.11,1.34,87.1,20.72,25.72,30.0,22.35,0.56,98.4
2023-03-03,pit_entrance,-0.456,117.11,1.45,91.04,19.94,25.62,27.78,23.66,0.48,93.06
2023-03-04,pit_entrance,-0.456,117.11,3.84,92.53,8.97,25.18,27.13,23.04,0.71,98.89
2023-03-05,pit_entrance,-0.456,117.11,3.04,89.01,13.88,25.65,29.22,22.32,0.76,99.26
2023-03-06,pit_entrance,-0.456,117.11,7.8,90.46,15.99,25.82,28.94,22.9,0.58,97.84
2023-03-07,pit_entrance,-0.456,117.11,5.82,92.84,11.45,25.54,27.87,23.22,0.71,98.38
2023-03-08,pit_entrance,-0.456,117.11,8.22,93.66,20.94,25.79,28.89,23.4,0.67,85.28
2023-03-09,pit_entrance,-0.456,117.11,10.84,93.04,22.22,25.77,28.26,23.73,0.7,82.44
2023-03-10,pit_entrance,-0.456,117.11,5.36,87.65,22.95,26.19,29.26,23.61,0.56,71.87
2023-03-11,pit_entrance,-0.456,117.11,2.96,88.55,18.27,26.45,30.3,23.09,0.64,86.88
2023-03-12,pit_entrance,-0.456,117.11,10.95,93.48,10.29,25.49,27.82,23.6,0.75,97.76
2023-03-13,pit_entrance,-0.456,117.11,13.55,92.98,10.45,25.24,28.42,23.11,0.55,98.9
2023-03-14,pit_entrance,-0.456,117.11,43.03,93.46,20.23,25.23,27.91,23.05,0.66,88.59
2023-03-15,pit_entrance,-0.456,117.11,7.58,88.5,18.19,26.23,29.85,23.35,0.53,86.0
2023-03-16,pit_entrance,-0.456,117.11,0.82,89.77,23.11,26.33,29.11,24.05,0.62,74.37
2023-03-17,pit_entrance,-0.456,117.11,0.38,90.07,6.56,26.24,28.41,23.51,0.56,98.51
2023-03-18,pit_entrance,-0.456,117.11,0.33,87.94,17.58,26.43,28.9,23.56,0.5,87.43
2023-03-19,pit_entrance,-0.456,117.11,2.48,89.63,25.34,26.26,29.31,23.33,0.84,49.23
2023-03-20,pit_entrance,-0.456,117.11,28.6,92.89,10.68,25.84,28.29,23.9,0.63,96.76
2023-03-21,pit_entrance,-0.456,117.11,16.7,92.71,19.43,25.64,28.11,23.54,0.78,88.69
2023-03-22,pit_entrance,-0.456,117.11,1.24,91.96,18.8,25.78,28.67,23.52,0.67,92.54
2023-03-23,pit_entrance,-0.456,117.11,1.2,91.88,14.8,25.8,28.75,23.32,0.75,93.16
2023-03-24,pit_entrance,-0.456,117.11,5.05,90.79,23.53,26.39,29.77,23.48,0.75,66.51
2023-03-25,pit_entrance,-0.456,117.11,4.6,94.78,17.25,25.8,28.01,24.06,0.66,97.07
2023-03-26,pit_entrance,-0.456,117.11,1.63,92.31,10.41,25.58,28.57,23.2,0.59,99.19
2023-03-27,pit_entrance,-0.456,117.11,2.35,91.91,18.35,25.6,28.21,23.71,0.58,93.38
2023-03-28,pit_entrance,-0.456,117.11,3.35,91.54,7.66,25.29,27.79,23.84,0.53,99.12
2023-03-29,pit_entrance,-0.456,117.11,9.15,88.36,20.38,26.13,29.69,23.24,0.57,93.05
2023-03-30,pit_entrance,-0.456,117.11,7.97,90.96,9.96,26.09,29.37,23.15,0.71,99.19
2023-03-31,pit_entrance,-0.456,117.11,9.73,93.08,18.74,25.66,27.96,23.85,0.63,96.88
2023-04-01,pit_entrance,-0.456,117.11,10.64,92.68,15.08,25.47,28.54,23.31,0.7,99.68
2023-04-02,pit_entrance,-0.456,117.11,2.31,91.29,9.82,25.7,28.24,23.19,0.6,99.66
2023-04-03,pit_entrance,-0.456,117.11,3.95,91.16,9.64,25.88,29.07,22.77,0.71,96.29
